file,seed,env_dim,planner,pair_index,num_test_positions,num_vertices,num_edges,discrete_path_cost,continuous_path_cost
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.12.pkl,10,2,PRM,12,5621,5,8,4.163966033985592,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.13.pkl,10,2,PRM,13,5471,5,8,31.79425706543264,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.14.pkl,10,2,PRM,14,4982,5,8,23.389165127438133,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.15.pkl,10,2,PRM,15,13563,10,27,7.39225243160387,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.16.pkl,10,2,PRM,16,5463,5,8,7.842289155043835,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.17.pkl,10,2,PRM,17,5496,5,8,17.5028390202025,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.18.pkl,10,2,PRM,18,14017,10,27,18.10818273763352,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.19.pkl,10,2,PRM,19,13626,10,27,11.711640143215227,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.20.pkl,10,2,PRM,20,14077,10,27,16.53394872807295,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.21.pkl,10,2,PRM,21,5575,5,8,37.1840649157823,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.22.pkl,10,2,PRM,22,14056,10,27,26.843756951486355,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.23.pkl,10,2,PRM,23,14332,10,27,14.89034875927553,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.24.pkl,10,2,PRM,24,25087,15,58,5.94838399151359,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.25.pkl,10,2,PRM,25,5821,5,8,34.40491102239784,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.26.pkl,10,2,PRM,26,14040,10,27,17.013832447536174,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.27.pkl,10,2,PRM,27,13942,10,27,25.300698009333207,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.28.pkl,10,2,PRM,28,5556,5,8,13.166370672822609,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.29.pkl,10,2,PRM,29,5529,5,8,8.170693121886275,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.30.pkl,10,2,PRM,30,5363,5,8,17.41455104136969,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.31.pkl,10,2,PRM,31,5147,5,8,39.74016162724884,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.32.pkl,10,2,PRM,32,14661,10,27,20.422005812117973,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.33.pkl,10,2,PRM,33,5215,5,8,10.57522297831371,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.34.pkl,10,2,PRM,34,5280,5,8,20.40319804129615,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.35.pkl,10,2,PRM,35,5540,5,8,29.94312819348662,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.36.pkl,10,2,PRM,36,5488,5,8,28.773128171201307,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.37.pkl,10,2,PRM,37,4604,5,8,21.266733151645237,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.38.pkl,10,2,PRM,38,5789,5,8,15.184454767880302,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.39.pkl,10,2,PRM,39,5759,5,8,25.289105731755466,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.40.pkl,10,2,PRM,40,5598,5,8,22.380893287699493,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.41.pkl,10,2,PRM,41,5516,5,8,17.77953770677312,inf
/home/daizhirui/results/sdf-planning/min_effort/launcher_seed_0/seed_10/PRM-2d.42.pkl,10,2,PRM,42,14568,10,27,18.773449636527438,inf
